Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate,urban
S01010536,Badenoch and Strathspey Central,Highland,860,519,0.13,109,0.08,41,100,83.1217712,18.18194338,88.68943817,0.163822526,0,74.90530685,0.74129,5.52,108.5942916,0.038834951,0.046296,3.221630307,1.605336085,1.888399175,2.96938914,2.512054835,18.40737288,5.947821344,5.616645047,7.004404481,0,8.12324736,94.45636465,99,21,0.117857143,0.025,0
S01010537,Badenoch and Strathspey Central,Highland,790,563,0.06,45,0.04,24,60,76.83097476,17.89968747,53.09473007,0.116644823,0,66.46717285,0.78862,5.533333333,82.13580921,0.026666667,0.043165,2.440836576,1.791001946,1.787733463,2.89365,2.106822309,18.26293103,5.383255512,5.440927367,6.534163424,0.05764411,25.385148,321.3309874,64,37,0.095808383,0.055389222,0
S01010538,Badenoch and Strathspey Central,Highland,1069,714,0.09,91,0.06,40,65,80.27157755,87.95781055,46.8765617,0.109628217,0.019607843,77.24678282,0.75309,5.851851852,59.57136124,0,0.042169,4.463154971,2.247038012,3.138891813,3.686167763,3.762152047,18.60742678,7.061175439,7.613175439,9.298859649,0.016722408,16.24649472,151.9784352,98,14,0.115429918,0.016489988,0
S01010539,Badenoch and Strathspey Central,Highland,1056,716,0.04,41,0.04,28,45,41.805313,0,61.80075924,0.100760456,0.04,61.90833988,0.82051,6.090909091,61.36885972,0,0.053435,5.261130415,4.475297834,4.738991426,5.06489726,4.982276625,20.73431034,13.243037,13.14400271,14.73306408,0.300824176,16.24649472,153.8493818,81,55,0.080597015,0.054726368,0
S01010540,Badenoch and Strathspey Central,Highland,635,389,0.06,36,0.03,12,50,80.26122541,0,75.04925413,0.128246753,0,78.74859024,0.77647,5.5,76.34811609,0,0.097826,10.24226911,10.13720143,2.232022293,4.226058824,11.41428344,17.06863636,16.6576871,8.620955414,18.50759554,0.219211823,*,*,35,37,0.055910543,0.059105431,0
S01010541,Badenoch and Strathspey Central,Highland,861,502,0.05,44,0.04,19,50,25.15246277,19.65316091,78.13021571,0.11736527,0,58.38746968,0.86127,5.52,60.88191852,0,0.066116,1.689425595,10.46966071,1.514770833,2.790518293,11.98535417,19.38203252,21.90397917,6.978416667,22.55453274,0.225382932,16.24649472,188.6933185,45,44,0.054945055,0.053724054,0
S01010542,Badenoch and Strathspey North,Highland,910,541,0.05,43,0.03,17,40,22.20631118,38.49262033,64.0093045,0.099671413,0.05,58.3961111,0.84264,5.95,60.00251359,0,0.15,11.11413812,12.76988674,3.25740884,5.932077465,12.00425138,15.90819444,24.2635442,9.84020442,21.83856768,0.179775281,3.04621776,33.47492044,90,64,0.102272727,0.072727273,0
S01010543,Badenoch and Strathspey North,Highland,598,373,0.07,44,0.05,18,70,31.82081811,0,61.11830902,0.107317073,0,58.27776008,0.71094,4.384615385,60.85404681,0.030769231,0.048193,7.37419967,8.235688944,3.60214934,8.362083333,7.71929868,10.98176768,22.40480198,14.77780528,20.55669142,0.801948052,5.0770296,84.90016054,38,26,0.063333333,0.043333333,0
S01010544,Badenoch and Strathspey North,Highland,876,509,0.08,70,0.05,25,70,65.36307403,0,62.02609201,0.144960362,0.108108108,76.20811458,0.78868,5.848484849,111.0110999,0.012121212,0.078313,2.158095103,3.179367882,2.215521071,3.35505597,2.480569476,6.00652439,11.66345103,8.267101367,8.604960137,0.073417722,11.16946512,127.5053096,68,8,0.078703704,0.009259259,0
S01010545,Badenoch and Strathspey North,Highland,725,430,0.06,47,0.04,16,60,124.1598764,88.36767174,89.56158446,0.156889495,0.037037037,86.03955244,0.88265,5.967741936,73.82197908,0,0.083832,1.421666667,2.544759485,1.471670054,2.541125,1.725162602,5.256201299,8.445924797,5.337205285,5.684844173,0.056372549,4.06162368,56.02239559,80,27,0.110041265,0.037138927,0
