health_board,2020,2021
Ayrshire and Arran,9388,36168
Borders,1586,7569
Dumfries and Galloway,1705,11108
Fife,6278,34551
Forth Valley,5622,30073
Grampian,7870,39166
Greater Glasgow and Clyde,41341,134789
Highland,2172,20279
Lanarkshire,24351,77406
Lothian,18577,85890
Orkney,39,502
Shetland,128,630
Tayside,8300,37099
Western Isles,96,949
