seat_share,portfolio_share
0.0242424234747887,0.0909090936183929
0.460606068372726,0.363636374473572
0.515151500701904,0.545454561710358
0.472049683332443,0.454545468091965
0.527950286865234,0.545454561710358
0.465277791023254,0.454545468091965
0.534722208976746,0.545454561710358
0.49659863114357,0.363636374473572
0.503401339054108,0.636363625526428
0.474358975887299,0.454545468091965
0.525641024112701,0.545454561710358
0.496815294027329,0.538461565971375
0.503184735774994,0.461538463830948
0.496815294027329,0.538461565971375
0.503184735774994,0.461538463830948
0.496815294027329,0.538461565971375
0.503184735774994,0.461538463830948
0.48407644033432,0.538461565971375
0.51592355966568,0.461538463830948
0.48407644033432,0.5
0.51592355966568,0.5
0.882352948188782,0.75
0.117647059261799,0.25
0.882352948188782,0.722222208976746
0.117647059261799,0.277777791023254
0.509554147720337,0.466666668653488
0.490445852279663,0.533333361148834
0.571428596973419,0.444444447755814
0.428571432828903,0.555555582046509
0.555555582046509,0.5
0.444444447755814,0.5
0.572580635547638,0.5
0.427419364452362,0.5
0.572580635547638,0.5
0.427419364452362,0.5
0.211009174585342,0.222222223877907
0.633027493953705,0.388888895511627
0.15596330165863,0.388888895511627
0.211009174585342,0.25
0.633027493953705,0.375
0.15596330165863,0.375
0.428571432828903,0.526315808296204
0.571428596973419,0.473684221506119
0.428571432828903,0.5
0.571428596973419,0.5
0.216417908668518,0.470588237047195
0.783582091331482,0.529411792755127
0.774774789810181,0.5625
0.225225225090981,0.4375
0.167999997735024,0.400000005960465
0.832000017166138,0.600000023841858
0.466666668653488,0.380952388048172
0.533333361148834,0.61904764175415
0.453900694847107,0.400000005960465
0.546099305152893,0.600000023841858
0.38400000333786,0.347826093435288
0.61599999666214,0.652173936367035
0.4609375,0.444444447755814
0.5390625,0.555555582046509
0.4765625,0.476190477609634
0.3671875,0.333333343267441
0.15625,0.190476194024086
0.37654322385788,0.346153855323792
0.123456791043282,0.0769230797886848
0.0864197537302971,0.115384615957737
0.290123462677002,0.307692319154739
